,cleaned_text,topic_hl,topic_hl_encoded
2467,"@hwallop This is like Marks and Spencer deciding to change their name to Vest &amp; Knickers.  Seriously the thing everyone should be mortified about is that stupid decision will have cost a couple of million £££, in consultants and senior managers working on a multi year project #RoyalMail",Financial News,1
2155,"Postperson wanted @RoyalMail  in Bootle

Working 18 hours a week you will have both Driving and Collection duties: 

#SeftonJobs #RoyalMail ",Royal Mail Jobs,4
1874,#RoyalMail awful broken service,Customer Service,0
1836,"@Bershka delivered soaking wet clothes as Royal Mail left them in the rain on my drive in paper packaging.  Your WhatsApp service won’t help and just tells me to wait a week.  I have nothing to return the clothes in, can’t try them on to see if they fit absolutely appalled",Customer Service,0
2221,TOP TIPSTER TIP TODAY: BUY #RoyalMail #RMG by Rupert Hargreaves @ruperthargreav1 for @TheMotleyFoolUK. Share price +6.21% since placed at Stockomendation #investing #StockMarket,Financial News,1
1563,Today on way back home from #RoyalMail. ,Customer Service,0
1377,"has anyone on here recently received a text message 
from #royalmail saying about a failed delivery ?
tracking number provided , website to go to 
and to pay for re delivery ?
#scam i think ?? 😷",Customer Service,0
282,@G4Official .Finally I have my original copy sent to old address. Absolutely fuming that #Royalmail failed to redirect after paying 6 mnths- ,Customer Service,0
1945,"We had a bit of snow today.
#RoyalMail #snowdonia ",Royal Reply,5
157,"@tessasanderson Oh pants, RM are useless!! sent 14th, have tracking will check and email update..so sorry #RoyalMail #Grrrr",Customer Service,0
1975,"❄☃️SNOW☃️❄ Streets lovely and white, looks beautiful and wintery.... postman still in shorts 🤣 #snow #RoyalMail",Royal Reply,5
7,Bloody #RoyalMail yet again another birthday parcel gone missing this year #Grrrrr,Customer Service,0
1683,#Royalmail Has anyone had any post today?,Customer Service,0
2338,"#Postman / #Postwoman with #Driving 28.30 hrs p.w 
@RoyalMail #Mitcham #Merton  #Jobs #CustomerServiceJobs #DeliveryDriver #RoyalMail #DrivingJobs #SM1Jobs #SuttonJobs",Royal Mail Jobs,4
584,My postman is ace he knows about my disability and always waits saving my family having Togo the sorting office #royalmail,Customer Service,0
2026,"Posties are being asked to pay more into a pension that will pay out on average £3000 per year less while the CEO has had her pension topped up by £200,000 this year alone #royalmail",Politics,3
1954,Just nipping up the Post Office #stleonards #lifeisbetteratthebeach #beachphotography #eastsussex #stleonardsonsea #seaside #royalmail #postoffice #sunshine #monday #beachlife 🌊🌊🌊🌊 @ St… ,Royal Reply,5
192,Last day at work until January the 2nd #krispykreme #royalmail ,Customer Service,0
19,"@modacitylife @PostNL yet in UK now all vans then on foot. Odd solution but then our #royalmail is now private company, :(",Customer Service,0
10,love 'missing' a parcel from #RoyalMail when i was stood outside my front door the time you reckon you delivered! @RoyalMail,Customer Service,0
2108,@Conservatives @nadhimzahawi Labour are the opposition. It’s a #tory #nightmarebeforechristmas. Can’t blame #MickLynch for #RoyalMail #NHS #Teachers going on strike either. This is all down to #ToryIncompetence and #ToryCorruption,Politics,3
46,Card for me to take and collect at a office 2 miles from my house! Rant over your service is shit! #royalmail,Customer Service,0
1378,"Just spotted this on a local postbox,  a knitted hat in tribute to key workers
#NHS
#royalmail ",Customer Service,0
85,disgusted a@#royalmail sent a £20 gift card by recorded delivery and some toe rag @#royalmail has nicked the gift card!!!!!!,Customer Service,0
1939,"Bit windy today, but at least I've got my shiny new jacket on 👌🏼👌🏼 #royalmail #postman #windy #BlueSkies ",Royal Reply,5
458,#Royalmail gone are the days getting your post at 7am! Still waiting for my parcel,Customer Service,0
1312,"#royalmail parcel 3 days late ,tracking useless,website takes you round in circles,60 minute wait on help line",Customer Service,0
2263,Ex-dividends to take 2.54 points from the #FTSE100 today. Companies going ex: #RoyalMail #SSE #RMG,Financial News,1
1315,Grand effort from Steve our royal postman #royalmail delivering presents with a smile. ,Customer Service,0
100,Postman opted to leave my payslip sitting in our communal corridor rather than posting thru the letterbox. Thanks for that! #RoyalMail,Customer Service,0
2508,New royal letter arrived from Germany 🇩🇪 #Royal #royalmail #royalletter #royalreply #germany #Christmas ,Royal Reply,5
1880,On 3 occasions they apparently tried to deliver but on 0 occasions did they leave a red slip. #royalmail #workshy,Customer Service,0
1885,"@Hopkins_Alison @RoyalMail Makes you have anxiety about all the stuff we do not receive.😖 
I get so many letters for people in a  block opposite my home. Just because it's same door number. Building or road do not much? No pbs #royalmail",Customer Service,0
1319,@PalmerKatharine going all Mrs Christmas on her delivery today! #royalmail #kingslynn ,Customer Service,0
59,Use Special Delivery post to track your #NHSBursary evidence and to make a claim from #royalmail if docs get lost ,Customer Service,0
1039,Thanks #RoyalMail was it too much effort to put the parcel near a door or something? ,Customer Service,0
691,"Royal Mail bans patriotic postal workers flying England flags during World Cup
",Customer Service,0
97,Llanelli Royal Mail Delivery Office -update times on red delivery cards. Not open 11-3 on Sunday wasted journey for urgent mail #royalmail,Customer Service,0
966,"#royalmail disgusted with your service I sent a package to my disabled wife containing her urgent medical prescription. tracking number nj18323442gb all she got was a card, she and her mother were in all day, now told cannot have for 4 days if she is ill I will sue royalmail",Customer Service,0
1376,#royalmail why do continually fail to deliver my medication!!! Do you not understand what letterbox delivery is?,Customer Service,0
254,Pretty cool coin collection that #RoyalMail make ,Customer Service,0
185,#royalmail #fail Living in the UK don't expect to received a letter from Barnslay addressed to Australia. Wrong Address,Customer Service,0
2251,#RoyalMail spiked at the open and reached high of 613 then squatted. Set stop loss at Friday’s low and will see how it performs this week and if it lets MAs catch-up.,Financial News,1
811,Oh no there isn't...it will never get there even if posted 1st class #royalmail shocking service,Customer Service,0
2420,"#Investor revolt over #RoyalMail boss's pay deal is biggest for years. #blackburn

",Politics,3
147,And they are off #royalmail #special ,Customer Service,0
1802,Amazing the geezer on Eastenders gets a new uniform whilst my nuts are hanging out of mine and told we can’t have any new uniform😂 #RoyalMail ,Customer Service,0
1833,"@CWUnews your ending the #royalmail 
will any one care 
noooooooo",Customer Service,0
61,When you have a lazy lying postman who can't even be arsed to buzz my door but instead give me a collect ticket #royalmail,Customer Service,0
1736,"32 not out. 
#postie #royalmail ",Customer Service,0
2594,Christmas Packs 1972/73/74 &amp; 1975 or just the Stamps. Find us on our EBay link on profile.. #stamp #stamps #stampcollector #stampcollecting #postalstamp #royalmail #xmasstamps #collectingstamps  #postagestamp #Christmas #christmasstamps #xmas #xmasstamps ,Philately,2
76,#RoyalMail are fucking useless,Customer Service,0
2592,Just Some of our Christmas Stamps 1983/6 #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamp #royalmail #xmasstamps #royalmailstamps #postagestamps #collectingstamps  #postagestamp #Christmas #christmasstamps ,Philately,2
1984,Christmas reply from Their Royal Highnesses Prince Felix and Princess Claire of Luxembourg 🇱🇺 #Royal #royalletter #royalmail #royalreply #Christmas #Luxembourg ,Royal Reply,5
211,Cherrs #royalmail another chance to enjoy smell of burnt post in morning. Beats burnt toast I suppose ,Customer Service,0
2567,2005 Classic ITV stamp pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage  #postagestamp #ITV #classicitv #emmerdale ,Philately,2
1366,"Wondering how #royalmail class ‘keeping the country going’ when deliveries are a sporadic once a week &amp; Customer Service over 40min wait to discuss🤬
Unforgivable stress when #COVIDVaccination notification is by Mail!",Customer Service,0
2449,CITADEL ADVISORS LLC declares that on May 31 it reduced its net short position on ROYAL MAIL PLC from 0.82% to 0.74%  #RoyalMail,Financial News,1
1487,This might cheer you up - sterling effort by @RoyalMail ,Customer Service,0
158,"My poor postman I've just seen I'm with a mountain of parcels, spare a thought for your postman when you order online. #royalmail",Customer Service,0
1288,@RoyalMail I’m getting very fed up with #royalmail no parcels received all week been expecting parcels from 10th have a Royal Mail track and trace parcel to be delivered today post man been and gone no parcel this was a birthday present,Customer Service,0
2127,#JOB Want to #work for the #RoyalMail? We have a fantastic #opportunity for a Vehicle Technician in #Guildford.  ,Royal Mail Jobs,4
2200,"Postperson with Driving - Crow Lane Delivery Office #Northampton @RoyalMail 

Permanent contract. Full details here: 

#NorthamptonJobs #RoyalMail #Jobs ",Royal Mail Jobs,4
1968,Working through this #UKHeatwave is brutal ☀️☀️ #postman #royalmail ,Royal Reply,5
1307,#RoyalMail latest recommended posting dates and delivery/collection days for #Christmas 2020.  ,Customer Service,0
1325,"@RoyalMail I love the print at home postage service but considering how we are all going green, can you really not do better than an A4 page per single postage ""stamp""??!!
And another 2 A4 to print the receipt for my taxes?
Y not go out and set fire to some trees!!
#royalmail",Customer Service,0
904,#royalmail anyone have similar issues with royal mail lately? I sent special delivery &amp; got mis sorted &amp; delivered day late. Signed for service item delivered WITHOUT the signature I paid for. Now another signed for item not shown as delivered yet. Royal mail used to be a GREAT,Customer Service,0
1070,"Struggles break out in Inverness, Bristol ahead of UK #RoyalMail national strike ballot ",Customer Service,0
1587,"#royalmail #Theft #courier 
Royal mail came to deliver a parcel then steals my letter ",Customer Service,0
2488,Did you know that the #royalmail #graduatescheme has 13 different opportunities? Listen here to find out more &amp; bag a brilliant #graduatejob  #graduatejobs #jobsearch #gradjobs #royalmailjobs #jobsinlondon #careers #careeradvice #royalmail #graduatescheme,Royal Mail Jobs,4
1739,"BBC News - #RoyalMail staff to stage four-day strike action
",Customer Service,0
2289,"✉ Reply n. 322 👑
Birthday reply from HH Prince Henrik's parents - TRH Prince Joachim and Princess Marie of Denmark
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5
746,State of #RoyalMail in 2018. ,Customer Service,0
362,Nearly wasn't going to cup final postie put through rong door unsigned luckily nieghbour came to my door £7 pound I paid #royalmail sucks,Customer Service,0
423,Look out for these misleading missed delivery cards posted through letterboxes designed like they're from Royal Mail  ,Customer Service,0
1491,"So Royal Mail UK can't contact my local sort office to change a number on a card to deliver to me after my elderly dads address writing mistake , but will send to Dublin for destruction 👌🏻👏🏼🤷🏼‍♀️ #royalmail #firstclasspricks #nocustomerservice",Customer Service,0
1512,Postcard from Chile arrives in Dorset after 30 years #royalmail #snailmail  ,Customer Service,0
695,"UPS is buying a fleet of 1,000 electric vans from Workhorse  via @FredericLambert",Customer Service,0
2526,"8th March 1971:
Post strike ends with pay deal...

Postal workers went back to work, on this day 49 years ago, after seven weeks on strike.

Ideal #RoyalMail #PostOffice Memorabilia Collectible Gift Idea

👉  ",Philately,2
2196,"Royal Mail PFS - Mobile Maintenance Engineer covering YO/HU and TS postcode areas (#Hull,) SSP Food Travel Experts. Deputy Manager Deputy Manager. - The Grain Loft Manche... VISIT 

#RoyalMail #UKjobs ",Royal Mail Jobs,4
1114,Changes to how #RoyalMail delivers your post start from April 6 ,Customer Service,0
440,"@AngelaRayner at 1 time it was in case anyone held up a sub post office wearing #RoyalMail uniform , however there was some ! good will , very regimented",Customer Service,0
1551,"@IPxpy if you see this I left your parcel in the bush outside due to no answer when I rang the door bell.
#royalmail",Customer Service,0
971,"Royal Mail set for Christmas strike chaos 
#royalmail ",Customer Service,0
1058,Royal mail you got some explaining to do you useless twats i haven't had one card through door today for valentines day so i assume there is  a strike on youve lost my cards?  Useless #royalmail,Customer Service,0
947,@Hermesparcels four days and still no pick up from your #parcelshop very poor at least #royalmail pick up twice a day at least. looks like the #horror horror stories are true and I have been #lucky,Customer Service,0
1914,#royalmail For gods sake do something you and hundreds of businesses are being ruined,Customer Service,0
1023,"Feeling Furious...#ROYALMAIL #royalmailleatherhead  notification delivery BUT #NOparcel Tracker delivered  showing signature and unknown name!!! phoned depot who is this person, they MUST know who was allocated to deliver parcels in our road. It was nearly their time to go home..",Customer Service,0
1506,@telebusiness @ojngill #royalmail have not been getting signatures for signed for letters for several years in London.,Customer Service,0
1659, just #royalmail shooting Themselves in the foot,Customer Service,0
1063,"Here, can you sign for this mate?
",Customer Service,0
2331,#Postman / #Postwoman With #Driving #Sutton P/T 28 hrs p.w @RoyalMailGroup  #Jobs #RoyalMail #DrivingJobs #CustomerService #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
268,When you scan a special delivery and no signature is needed 😍#royalmail #posties ,Customer Service,0
617,"here is a valentines day treat, a short film about dating starring the inestimable @alicelowe - who I hope got the card I sent? #royalmail? ",Customer Service,0
1511,"#cardiffnorthsortingoffice #postman   #royalmail postie is a joy, pleasant, friendly and often the only non family human I engage with in person.",Customer Service,0
247,"What's this ? heard of #royalmail efficiency, but opening the letter before it arrives on you door mat not happy @RoyalMail ",Customer Service,0
123,Tryin track my damn parcel on #royalmail yet telling me code isn't recognised but other day was on way through system better find my parcel,Customer Service,0
86,More #royalmail from Harry! ,Customer Service,0
2572,1997 Pack 40. Castles High Value #stamp #stamps #philatelists #philately #stampcollector   #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage  #postagestamp  #presentation #definitivestamp ,Philately,2
2079,"Julian Smith MP voted...

Against...
-Greater regulation of #fracking
-More powers to the Scottish Parliament &amp; Welsh Assembly

For...
-Greater restrictions on campaigning by third parties, such as charities, during elections (12/12)
-Privatisation of #RoyalMail

#reshuffle ",Politics,3
115,So I just had to sign for a package looking like this! Sorry postman #glitterbuguk #royalmail… ,Customer Service,0
967,"@RoyalMail #royalmail absolutely disgusted ... sent some lights with you worth £102, these then get damaged in transit, have sent over proof as you requested and you send me 6 X 1st class stamps as compensation… ",Customer Service,0
1620,Look at #royalmail privatisation. Shocking postal service ever since.,Customer Service,0
1151,"Where I live, I've had 2 #royalmail deliveries since 23 April. For one item I ordered, I even paid extra postage for express delivery. Postman said there's no pt going to sorting office to collect because of a backlog of unsorted mail. Come on @RoyalMail , ppl need you",Customer Service,0
56,Time to get it together #royalmail.,Customer Service,0
1600,"So royal mail says they don't deliver on new years day so they sent me this on thier tracking... I was in my living room facing the front door... door bell working and everything no postman arrived are they ninjas?
#royalmail @RoyalMailHelp @RoyalMail ",Customer Service,0
2000,A wonderful christmas card from Their Majesties the King and Queen of Spain and their children. 🇪🇸  #Royal #royalletter #royalmail #royalreply #spain #Christmas ,Royal Reply,5
499,And the CWU must follow the law and exhaust all resolution avenues before calling a strike #royalmail ,Customer Service,0
1112,@Local_Chlse @AnniBananniMixr @MBikerUK @ashpar11 @RoyalMail There are other verifiable sources who clearly state the guy has ocd and was sent on deliveries due to staffing issues at royal mail. All he appears to be doing is tapping (whilst wearing gloves) nobody gives a crap about the mail handled and posted untouched btw :(,Customer Service,0
1993,Message on the inside of the card from the King and Queen of the Belgians. 🇧🇪  #Royal #royalmail #royalletter #royalreply #Christmas #Belgium ,Royal Reply,5
1004,I fucking hate the royal mail. Post the fucking letter through fucking post box before you fucking shut down. #royalmail,Customer Service,0
133,Building transportation crate even the #royalmail could not break (jk would never ship via them) ,Customer Service,0
740,Royal Mail: Stop posting crisp packets without envelopes  ,Customer Service,0
1734,@Ianredford5 you did not use #royalmail,Customer Service,0
727,Thanks a lot dad for opening my package i got by #royalmail when it say's my name on it. He just want to know everything i get. Pisses me off.,Customer Service,0
777,This gorgeous robin decided to serenade me on my route this morning. #postie #royalmail ,Customer Service,0
285,#royalmail#post#skynews so much post gone missing and not delivered the last few weeks from ilford London 😡,Customer Service,0
1761,@_andyhandy I’ll pop it in the post #royalmail 🤣x,Customer Service,0
2354,Postperson with #Driving #FTC P/T 30 hrs pw @RoyalMail #NewMalden  #Jobs #CustomerServiceJobs #DrivingJobs #RoyalMail #SurreyJobs #SM1Jobs #SuttonJobs,Royal Mail Jobs,4
1781,#royalmail customer service and driving lessons 🤡🤡 ,Customer Service,0
868,"#royalmail very poor service, they cannot deliver their service jurhuet still charge and advertise they can. They should privatise this now I wouldn't mind actually paying if toy get what you actually pay for!",Customer Service,0
921,#royalmail fail Two people in the house and they dont bother to ring the bell! Cant pick it up till Thursday when needed today.  Huish Yeovil ring the bell if you want us to open door,Customer Service,0
1368,#royalmail Can you believe this! This joker hangs around at bottom of our drive 5 minutes without actually walking up our drive to deliver the parcel!!  Then he posts a card saying we were not in!!  It would have took less time to actually make the delivery!   Sack this postman!!,Customer Service,0
669,"@officialUKMail 20 mins after arriving and still no parcel. Wrong depot info on Saturday, a promised delivery and now this. These guys are a joke 😂 should have gone @parcelforce #royalmail ",Customer Service,0
1105,The #RoyalMail will keep us close like pen pals. x,Customer Service,0
2484,"You use their service everyday, but have you checked out their #graduatescheme? Listen here to find out more about the opportunities with #royalmail  #jobsearch #graduatejobs #gradjobs #gradscheme ",Royal Mail Jobs,4
1489,Love this #RoyalMail we never fail 😃,Customer Service,0
2561,2004 Classic Locomotives stamp pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage #TRAIN #trains #trainspotting ,Philately,2
701,Sending the right message #royalmail #pride ,Customer Service,0
824,#RoyalMail in stamp blunder after confusing D-day beaches with Indonesia  ,Customer Service,0
1228,"@RoyalMailHelp @RoyalMail @prestigeflowers ordered flowers to shop in King Street Truro for Friday - address unaccessible which is strange as post was delivered and customers can access - unable to track. So disappointed for her birthday
#royalmail #nodelivery#birthday ",Customer Service,0
1971,@Philatelovely Her Majesty’s Official Birthday weekend ....Happy Birthday and have a lovely day ☀️#TroopingTheColour #RoyalMail #UnitedKingdom 🇬🇧 ,Royal Reply,5
65,"@wildbangarang I feel important, the #Royalmail is delivering my package and its almost here! Thank you",Customer Service,0
653,"@FundraiserBeth Love the sentiment of this, shame its not the UK too. Enjoy scribing and sending!",Customer Service,0
1192,#RoyalMail trials refitted black cab electric vans #ev ,Customer Service,0
1441,@hawkino1960 (2 of 2) Please report suspicious texts via the following form -  ^RM,Customer Service,0
2523,Magpie-Bird-Art-Up-cycled-Postage-Stamp-Two-For-Joy-Magpie-Oil-Painting #philately #postagestamps #postage #snailmail #stampcollector #postagestamp #postal #stamps #philatelist #royalmail #mailart #stampart… ,Philately,2
2012,"abour manifesto leaked: Jeremy Corbyn pledges to #ReNationalise #EnergyIndustry, #railways and #RoyalMail in... ",Politics,3
1027,Wow! Nothing stops #royalmail at Xmas,Customer Service,0
916,#royalmail worst customer experience in a long time!,Customer Service,0
444,#RoyalMail threatens grieving daughter over dead father's uniform ,Customer Service,0
774,"still no #fallout76atgame live chat was no help, #royalmail on the other hand ill be speaking to you tomorrow then ill find out wtf is going on where my game is some been changed to yodel #beyondpissed day wasted anxiety has made it worse😔",Customer Service,0
2056,"@LibDems Oh right
We should believe you this time...
You enabled Cameron, Osborne, #Austerity, #BenefitsCuts #RoyalMail and #Trident
Only Independence works for Scotland now, and you oppose that too
Did you pay @policescotland
£800k you owe yet?
Didn't think so
#DissolveTheUnion",Politics,3
1644,"Royal Mail will let you swap out the old stamps for free… #MartinLewis

",Customer Service,0
351,Royal Mail staff strike to support sacked postie ##RoyalMail ,Customer Service,0
2040,"@daily_politics @Jo_Coburn @NadineDorries Its not just Grayling &amp; its not just @theresa_may its not just @BorisJohnson its not just @michaelgove its all of them the problem is the @Conservatives #BecauseofTories the UK has never been weaker #ToriesOut

Why are out press supporting it?

#bbcdp #RBS #RoyalMail #Austerity",Politics,3
1716,@knocker01 morning geez have a good one did you ever get da buster fathers day card in the end ? #Royalmail,Customer Service,0
2474,"Remember #RoyalMail privatisation was driven by the #Libdem #VinceCable. Privatisation is theft, it always involves publicly owned assets being sold off at a fraction of their value and a poorer, more expensive service for the public as millions are siphoned off to shareholders.",Financial News,1
105,"Post just arrived, there was a time it arrived in the morning! #RoyalMail",Customer Service,0
830,When privatisation and Amazon collide #royalmail ,Customer Service,0
1831,"@JohnEJefferson @MailOnline the #royalmail 
cannot modinise 
no wonder it is losing millions each day",Customer Service,0
1449,No idea why this was even re delivered no card left they postmen just do what they want really. #posties #postman #royalmail ,Customer Service,0
1653,he’s coming home soon #ROYALMAIL,Customer Service,0
1596,"@GBNEWS In December 21 #royalmail agreed to deliver 900,000 lft/pcr a day on top of everything else.. no extra staff for extra work and they are closed not delivering on bank holidays.. government have created a pickle…",Customer Service,0
711,"Right, attempt 3 at registering for a #RoyalMail Drop and Go account at the post office... Which me luck. If only their was some kind of internet thing you could do stuff online with.....",Customer Service,0
294,quick question how long does a letter take if you send it 2nd class #royalmail,Customer Service,0
575,#royalmail delivery service at there best thanks for the smashed mug #afcrd ,Customer Service,0
1900,I think post men / ladies need training more on reading the do not bend message on an envelope #royalmail,Customer Service,0
1370,"#royalmail social messaging offers envelope gum encryption, personalised postcode, and mail carrier data transmission. Just install a letterbox and send out a postcard to invite friends.",Customer Service,0
410,Love it when you pay for guaranteed next day deliver then #RoyalMail driver just shoves a card through the door and leg it without knocking!,Customer Service,0
1981,A wonderful christmas card from Their Highnesses The Duke and Duchess of Mecklenburg and their family. #Royal #royalmail #royalletter #royalreply #germany #Christmas ,Royal Reply,5
479,@cigarboyrick82 every year the couriers and amazon off loads thousands of parcels every week onto Royal Mail as they cannot deliver them - Royal mail have to deliver them - that is the truth #royalmail,Customer Service,0
1531,Well it definitely pays to have a ring doorbell… Caught my postie THROWING my parcel over my gate on to the door mat then entering via the gate and ringing the doorbell. How is this acceptable?! @RoyalMailHelp #royalmail,Customer Service,0
2187,"The busiest time of the year is fast approaching for the #RoyalMail and so lots of helping hands are needed to help deliver Christmas!
Check out the job opportunities here⬇️



#royalmailjobs #christmasjobs #seasonal #JobSearch #JobSeekers ",Royal Mail Jobs,4
2486,"Got through to the #assessmentcentre with #royalmail? Listen here for #jobsearch tips on how to perform at your best and get the job! 

#gradjobs #jobsearch #gradscheme ",Royal Mail Jobs,4
1431,#royalmail yet again another parcel sent to the USA never received 😱 you have treble your costs since Sept 2020 4 out 7 parcels have just not reached the destination almost £200  money back please cheaper to fly out &amp; deliver myself! Crap service crap customer service!,Customer Service,0
893,Best postman ever ,Customer Service,0
184,#royalmail pimps of the blow up doll world ,Customer Service,0
2414,"#Investor revolt over #RoyalMail boss's pay deal is biggest for years. #romfordhour

",Politics,3
618,Elastic bands warning after popular Bobby the dog’s tragic death ,Customer Service,0
1115,Follow up info #RoyalMail,Customer Service,0
1706,Trying to claim back money from @RoyalMail for a package that was apparently signed for - well 1st no one was home but their proof is that a postman signed it ‘XP1’ because of covid - this practice stopped as of 1st May so how is that proof? We didn’t receive it!!!! #royalmail,Customer Service,0
497,#royalmail hull ,Customer Service,0
915,When the trusty @RoyalMail postman not only forces a large parcel through your door that he damages the box of a gift that he also snaps the letterbox completely!! #royalmail ,Customer Service,0
2584,1976 Pack 86. Welsh Definitive's #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #postagestamps #collectingstamps #postage #postagestamps  #postagestamp #cymru #wales #welshstamps ,Philately,2
2235,#RoyalMail (#RMG ) slashes its #dividend by 40% and shares jump. Time to pile in? #stocks #investing #FTSE #LondonStockExchange  ,Financial News,1
782,@RoyalMailHelp So at Royal Mail. Another morning wasted for a second PROMISED redelivery and still my parcel hastn arrived. #Royalmail more like Royal Fail!!,Customer Service,0
1844,Support for posties wearing thin as small online businesses seem to be their target. #RoyalMail,Customer Service,0
70,@ReutersBiz #royalmail shortage of mail sacks users complaining can not send parcels that should reflect in next quarter downside,Customer Service,0
2504,"Final round of Posted Overwintered Nucs 2022, heading all over the UK overnight. Just a few weeks gap before we begin shipping Spring 2022 Nucs!
It's all go here 🐝  🍯 
-
 #royalmail #beekeepinglife #beefarmer #honey #honeybees #beekeeping #spring #bees #beehive ",Royal Reply,5
1177,It will soon look like a post box #royalmail.,Customer Service,0
