,cleaned_text,topic_hl,cat codes,inference,predicted_class,prob,predicted_code
11,"Every deal cut with #RoyalMail in the last decade starts with affirming the “mutual interests” between the workers and bosses.

But the fact is our interests are opposed – our wage rises and shorter working weeks are a deduction from their profits.

#CWU 

",Financial News,1,"{'label': 'Financial News', 'score': 0.975307822227478}",,0.0,0
12,"#Investor revolt over #RoyalMail boss's pay deal is biggest for years. #CumbriaIsOpen

",Politics,3,"{'label': 'Politics', 'score': 0.9687100052833557}",,0.0,0
13,My workplace Medway Mail Centre is feautured on ITV showing how are dealing with our busiest time of year #royalmail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9573665261268616}",,0.0,0
14,How cheeky of @RoyalMail to claim they could not get access to building. 40 tenants ignored the parcel delivery person? Funny they forgot to leave a card for redelivery!! Service is paid for! Why take the Pi**??? #royalmail #royalmailisajoke #patcelforcedramas,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9594542384147644}",,0.0,0
15,"@DHLitNowUK Just a shout out to the terrible DHL UK parcel services on 22-24th Dec: lying driver about the delivery, faked signatures, twice tried to rearrange, lost package, rude customer support on the phone and indifferent e-support. Choose #ups #royalmail instead!",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9575726985931396}",,0.0,0
16, nobody steals our parcels we want em all #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9633580446243286}",,0.0,0
17,"Cover Manager P/T 20 hrs p.w @RoyalMailGroup #Epsom 
 #Jobs #RoyalMail #CustomerServiceJobs #SurreyJobs #SM1Jobs #SuttonJobs",Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9782366156578064}",,0.0,0
18,1999 Pack 45. Scotland Definitive pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postagestampsuk #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #Scotland  #postage #definitivestamps ,Philately,2,"{'label': 'Philately', 'score': 0.9844894409179688}",,0.0,0
19,@MissBabington We do pickups for businesses so you do have to do a post run #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9555414915084839}",,0.0,0
20,Today was a good #royalmail day! ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9555445313453674}",,0.0,0
21,@USPSbiz Seeing this in London and thinking what #royalmail ads team is doing in response,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9564310312271118}",,0.0,0
22,"@RoyalMailHelp I’m trying to source a lost claims form@from @Hermesparcels lukeP , I was saying should we go back to Royal Mail as they are now doing a busines service through eBay. Although last time something went lost with #royalmail I was out of pocket. See photo.",Customer Service,0,"{'label': 'Customer Service', 'score': 0.958598256111145}",,0.0,0
23,#Royalmail Nottingham Delivery Offices Festive Opening Hours | West Bridgford Wire  ,Royal Mail Jobs,4,"{'label': 'Customer Service', 'score': 0.9360238313674927}",,0.0,0
24,Thank God my postie found my safe place. #RoyalMail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9636171460151672}",,0.0,0
25,"ii new Head of Markets @RStockHunter discusses #RoyalMail results in @thisismoney  
Capital at Risk",Financial News,1,"{'label': 'Financial News', 'score': 0.9574954509735107}",,0.0,0
26,Cressidone at which Rwandan Church would you choose to receive your orange flipper designer delivered boutique chic Highdown Cement heels sent to? #RoyalMail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9540584087371826}",,0.0,0
27,"Look it that @RoyalMail
Every gate in the street left open right after your daft wee postal worker appears. Plenty of pensioners in this street now having to go back out to reshut gates!

Normal postwomen is lovely but clearly daft wee teens are hired for Xmas  #royalmail ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9522070288658142}",,0.0,0
28,As if #royalmail sent my #Vfest tickets back!!! WTAF,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9622971415519714}",,0.0,0
29,Fucking key worker I'm fucked #worstthanxmas #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9609830975532532}",,0.0,0
30,"@battlebus141 @ZJS_Ret @wheeliedealer @BBCBusiness #RMG+8% £2.52✅Since discussed in #TwinPetesInvesting #podcast 34, analysts have taken a shine to $RMG taking #shares higher to prices last seen in April 2019✅

MT @Sharecastcom #RoyalMail surges on JPMorgan upgrade to 'overweight' ",Financial News,1,"{'label': 'Financial News', 'score': 0.9700700640678406}",,0.0,0
31,2 first class stamps used to be enough to post a DVD - from today it's not. #Royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9624444246292114}",,0.0,0
32,"""Special next day guaranteed delivery"" next day my arse :( I just want my parcel!!! #post #royalmail #pleasehurry",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9625043869018555}",,0.0,0
33,#Royalmail your change of address service is rubbish iam getting my mums mail and she's getting mine so iv sill got to go a swop it so ism paying for nothing,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9623565673828125}",,0.0,0
34,".
Management posts to get their cards.

#RoyalMail  

",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9586389064788818}",,0.0,0
35,A future leader of our great union 🥹,Customer Service,0,"{'label': 'Politics', 'score': 0.6159718036651611}",,0.0,0
36,"URGENT WEATHER WARNING

I know this will distress a lot of people but this winter may be the worst since the last ice age. How do I know this you ask?
I’ve just seen a postman in LONG trousers! 😱😱😱😱😱😱 #snow #weather #royalmail #postperson #endoftheworld #iceage #disbelief",Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9858160018920898}",,0.0,0
37,#moonpig. Well I will never use this company again disgusting customer service ordered a very special 50th birthday card for my partner they had 9 days to arrange it to be delivered on the right day then they blame #royalmail because of covid but didn't send it out until 12/07 🙁,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9610519409179688}",,0.0,0
38,#RoyalMail included!!! ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9602832198143005}",,0.0,0
39,"Fatcats sackful of cash as #RoyalMail service slashed and shareholders paid £500,000 a DAY ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9138885736465454}",,0.0,0
40,The postal service is top quality 😂 #RoyalMail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9617987871170044}",,0.0,0
41,POSTIES &amp; BEYOND. Call today from lady who had had a very special delivery from the #royalmail. A poorly hog out on lawn.Posties are working really hard to deliver our mail &amp; parcels and this yet postie went above and beyond. You sir are a top bloke! #hedgehoghero #dailymail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9618847966194153}",,0.0,0
42,#royalmail  Paid for Guaranteed next day delivery and its not arrived - useless service - wish I had gone to DHL,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9619345664978027}",,0.0,0
43,@joelycett shout out to #royalmail staff for great job. Now to deliver&amp;COLLECT #COVID19 testing kits for #nhs staff. Fantastic&amp;valuable service.But alarming that local posties still not provided with masks or sanitizer!gloves given only yday.also bring made to post junk mail!,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9583799839019775}",,0.0,0
44,Disappointed to be told that sending an A5 notebook in an A5 Jiffy bag is a small parcel and not a large letter. Guy didn’t even try to use the gage at Crossthwaite Avenue in SE5. Lining their own pockets! @RoyalMail @RoyalMailHelp #ripoff #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.961553692817688}",,0.0,0
45,"Royal Mail PLC (RMG) have announced they will introduce Sunday parcel deliveries.

With the pandemic coming to a close, will Royal Mail stay bullish?

READ MORE: 



#royalmail #RMG #trade #stocks #stocksinnews  #stockstobuy  #stockstotrade #invest #finance",Financial News,1,"{'label': 'Financial News', 'score': 0.9668744802474976}",,0.0,0
46, Know anyone that wants an Engineering Apprentice? APPLY NOW! Closes May 2nd 2021 #🤓 #apprenticeship #apprentice #RoyalMail,Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9781281352043152}",,0.0,0
47,"A lovely Christmas thank you postcard from HRH Princess Marie-Esmeralda of Belgium,  Lady Moncada. 🇧🇪  #Royal #royalletter #royalmail #royalreply #Christmas #Belgium ",Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9858300089836121}",,0.0,0
48,"Royal mail workers strike themselves out of job, as the service will prove itself to be not needed going forward #royalmail",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9611976146697998}",,0.0,0
49,Don't let me down #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9567419290542603}",,0.0,0
50,Our postie is a smasher! Thanks Phil☺️#royalmail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9587080478668213}",,0.0,0
51,"#royalmail 5 wheel drive, delivery in style ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9626567363739014}",,0.0,0
52,"Chief Whip Julian Smith voted...

Against...
-Greater regulation of #fracking
-More powers to the Scottish Parliament &amp; Welsh Assembly

For...
-Greater restrictions on campaigning by third parties, such as charities, during elections (12/12)
-Privatisation of #RoyalMail ",Politics,3,"{'label': 'Politics', 'score': 0.9717256426811218}",,0.0,0
53,"#RoyalMail rolls out 190 #electricvans
 ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9621216654777527}",,0.0,0
54,MILLENNIUM CAPITAL PARTNERS LLP declares that on February 16 it reduced its net short position on ROYAL MAIL PLC from 0.54% to 0.48%  #RoyalMail,Financial News,1,"{'label': 'Financial News', 'score': 0.9745829701423645}",,0.0,0
55,"#RoyalMail #shares are down c30% this past week, falling from £4.91 (Mon 1Oct) to £3.45 by Friday close (5Oct). But are they a Buy now? @Forbes #equities #stocks #parcels #letters #couriers @SaviiDigital #ParcelHero Cites analyst Neil Wilson @marketsneil ",Financial News,1,"{'label': 'Financial News', 'score': 0.969221830368042}",,0.0,0
56,@RuthsBestBoy this 'servcie' is tragic...you get messages but no reliable info..they give you dates  &amp; then nothing happens..hve wasted days of my life waiting in for signed for items that dont appear on the day #royalmail say solemnly they will,Customer Service,0,"{'label': 'Customer Service', 'score': 0.958034873008728}",,0.0,0
57,Corpse sent by parcel post - Derbyshire Advertiser 1898. I bet those spoilsports at the #royalmail have rules about this sort of thing these days ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9614765644073486}",,0.0,0
58,OMG #royalmail Why put cardboard tracked delivery boxes in the delivery address recycling? #deliveryfail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9644842147827148}",,0.0,0
59,What the fake #RoyalMail text looks like ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9635244607925415}",,0.0,0
60,#bradleylowery #bradleysfight  has his own box on the machine @ #RoyalMail he is getting that many cards under santas ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.961874783039093}",,0.0,0
61,2009 Royal Navy Uniforms.. Presentation Stamp Pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postagestampsuk #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamp #royalnavy #royalnavystamps ,Philately,2,"{'label': 'Philately', 'score': 0.9841422438621521}",,0.0,0
62,The postie left óur mail on the doorstep this morning.. including a financial statement.  #royalmail.,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9640747308731079}",,0.0,0
63,"BBC News - #RoyalMail February strike off after legal challenge
",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9598709940910339}",,0.0,0
64,"#JobAlert #JingleJobs
Christmas Casual - Durham Collection Hub  ",Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9742162823677063}",,0.0,0
65,"@ClareGerada @drjanaway @LibDems Don’t be ridiculous 

#nhs
#austerity
#HostileEnvironment 
#royalmail
#studentbetrayal

This is why I left @libdems and joined @UKLabour",Politics,3,"{'label': 'Politics', 'score': 0.9790594577789307}",,0.0,0
66,"A lovely Christmas thank you from Princess Astrid of Belgium, Archduchess of Austria-Este and Prince Lorenz of Belgium, Archduke of Austria-Este. 🇧🇪 #Royal #royalletter #royalmail #royalreply #Belgium #Christmas ",Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9842481017112732}",,0.0,0
67,"So that means #royalmail will deliver them sometime on Tuesday if they were meant for Sunday, to the wrong address or left approximately by someone's front door. Fab.",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9629507660865784}",,0.0,0
68,#royalmail ... pretty rubbish to find a scrapped missed delivery note on my windowsill! I mean the recycle bin is like 2m away!?! ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9649054408073425}",,0.0,0
69,@Manton5Mandy That was quick! Only dropped yesturday at 5 pm #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9570325016975403}",,0.0,0
70,LOVE my #royalmail stamps that arrived today ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9641232490539551}",,0.0,0
71,"#royalmail when your photos get delivered to the completely wrong address meaning more money spent retrieving them, photobox pm me",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9626801609992981}",,0.0,0
72,Ought to try looking at #royalmail too ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9604054689407349}",,0.0,0
73,@KrustyAllslopp #vincecable sold off the #RoyalMail at what price? ... Expect he thinks #Labour can't 'manage' the economy either.  #r4today,Politics,3,"{'label': 'Politics', 'score': 0.9701573252677917}",,0.0,0
74,Trying to get sense or help off Royal Mail is impossible #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9596453309059143}",,0.0,0
75,"Get paid &amp; qualified with a Royal Mail apprenticeship, there's plenty on offer:  #apprenticeships #royalmail #careers",Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9778943061828613}",,0.0,0
76,"I’m out deer 🦌 spotting again on my postie round 
#royalmail ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9612355828285217}",,0.0,0
77,Just got a job with @rydedelivers helping the @RoyalMail 🙌🏽 #postman #delivery #royalmail,Royal Mail Jobs,4,"{'label': 'Customer Service', 'score': 0.9438514113426208}",,0.0,0
78,After £100 nicked out bday card + 2 cards ‘damaged’ (by machine #RoyalMail have you believe!) informed by cust. service that monies ‘falling out’ cards sent to incinerator-aka pockets! Yes there many people within with integrity but business currently lawless! #thievingbastards,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9623410701751709}",,0.0,0
79,1981 Fishing stamp pack #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage #fishing ,Philately,2,"{'label': 'Philately', 'score': 0.9839978218078613}",,0.0,0
80,"Welsh Black Bull, original mixed media Painting 10x12inch #cattle #philately #postagestamps #etsy #postage #snailmail #postagestamp #philatelist #stampcollector #art #postal #mailart #royalmail #stampart #stamp… ",Philately,2,"{'label': 'Philately', 'score': 0.983920156955719}",,0.0,0
81,The postman delivered us a Christmas card meant for an address 181 miles from our house! #royalmail #royalmessup,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9637246131896973}",,0.0,0
82,"Word of warning to #skytv customers. Recently left were asked to return equipment. They never sent packaging out to us, we chased them but got nothing! We returned ourselves via #royalmail but just received a threatening debt collector letter for no return, demanding £335 #scam",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9613831043243408}",,0.0,0
83,#royalmail is actually a joke,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9589956998825073}",,0.0,0
84,@CWUnews Analise is that code for bullshit #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9584466814994812}",,0.0,0
85,It is a shame suppliers do not state the delivery agent up front. Then i could avoid those using #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9585229158401489}",,0.0,0
86,Royalmail omg shocking I have sent three parcel to my daughter  that lives in China has not moved from we got it status #royalmail 30 November,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9624630808830261}",,0.0,0
87,"✉️ Reply n. 377 👑
🎄 Christmas reply from HSH Traute, Princess of Lippe 
#royalmail #royalletters #royalreply ",Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9849020838737488}",,0.0,0
88,okay but do post(wo)men really deliver to their own address or just put their post to one side to take home after? #realquestions #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9596889019012451}",,0.0,0
89,Psa: don't send cards with anything of worth inside. Came home to this on my doorstep. Cheers #royalmail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.96507328748703}",,0.0,0
90,I assume #royalmail don't like pressing door bells as i have been at home all day and get a delivery attempt fail txt from #AmazonPrime Grrr,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9622142910957336}",,0.0,0
91,#Royalmail - Moya Greene - you fail the USO every delivery day in the DE postcode. This is the only way forward. ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9607445001602173}",,0.0,0
92,Job vacancy ➡️ Class 1 HGV Driver  #royalmail #drivingjobs #JobVacancy,Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9770790934562683}",,0.0,0
93,"✉ Reply n. 341 👑
Reply from HSH The Hereditary Prince and HRH The Hereditary Princess of Liechtenstein on the occasion of their wedding anniversary 
----------------------
#royalmail #royalletters #royalreply ",Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9843285083770752}",,0.0,0
94,MILLENNIUM CAPITAL PARTNERS LLP declares that on April 01 it increased its net short position on ROYAL MAIL PLC from 0.48% to 0.5%  #RoyalMail,Financial News,1,"{'label': 'Financial News', 'score': 0.9746565818786621}",,0.0,0
95,Who remembers when you used to get morning and afternoon post? Now your even lucky if you get once a month. Royal Mail I got stuff coming and yet again no sign of postman 🙄 #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9620524048805237}",,0.0,0
96,@intlspectator if #RoyalMail is responsible for the delivery then that explains it.,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9582635164260864}",,0.0,0
97,"Wrote about fury in stamp land, because standard stamps without a barcode won't be valid beyond January. Ft an OUTRAGED @exitthelemming, @VictoriaCoren With big thanks to @letterappsoc plus @punkphilatelist @tagula_blue and @ameliagentleman's excellent dad ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9434553980827332}",,0.0,0
98,#RoyalMail Coronavirus: Royal Mail boss Rico Back in surprise exit  ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9623187780380249}",,0.0,0
99,"missed my item yesterday received a card, and an email saying i could collect item today. Woke up today to an email and text saying they would redeliver today, still nothing, tried to ring and phone lines close at 1 but royal mail open till 2?? #royalmail",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9621351361274719}",,0.0,0
100,Still waiting 🥱 #royalmail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.958615243434906}",,0.0,0
101,"#royalmail poorer service since privatisation, especially Special Delivery next day which can be days late if not there to receive it! 😠 ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9624263048171997}",,0.0,0
102,1977 Pack 91. #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #postagestamps #collectingstamps #postage #postagestamps #presentation #presentationpacks  #definitivestamps ,Philately,2,"{'label': 'Philately', 'score': 0.9846460223197937}",,0.0,0
103,#Parcelforce delivery driver caught on CCTV performing letterbox sex act  #RoyalMail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.964451253414154}",,0.0,0
104,"Gi Group are looking for enthusiastic, motivated and reliable candidates to work for one of the UK’s best-loved brands, Royal Mail. Check out our current vacancies here and apply today  #royalmail #jobvacancies #jobsearch ",Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.977950394153595}",,0.0,0
105,@millets_online refusing to refund me sent my shoes back over a month ago!!!!!! #millets #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9599794745445251}",,0.0,0
106,Closed a $CFD $short in #RoyalMail $RMG.L  within minutes at a gain of 3.59% on social trading platform #etoro - ,Financial News,1,"{'label': 'Financial News', 'score': 0.9741492867469788}",,0.0,0
107,#RoyalMail #Christmas jobs now available in Hull - how to apply ,Royal Mail Jobs,4,"{'label': 'Customer Service', 'score': 0.791591465473175}",,0.0,0
108,Its - 3c &amp; several inches of snow here  but I've just seen our postman pass by wearing shorts. #hardasnails #royalmail  ❄️🌨️,Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9857546091079712}",,0.0,0
109,"@RoyalMail Mine made for me, came all the way from Ireland., pride of place in my work van #postie #teddie #royalmail ",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9549810290336609}",,0.0,0
110,Who got all the posties baked of their nuts 😂 #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9626803398132324}",,0.0,0
111,New royal letter arrived from Germany 🇩🇪 #Royal #royalletter #royalmail #royalreply #Christmas #germany ,Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9845845103263855}",,0.0,0
112,#royalmail #grays joke as ever. Get some staff in and clear these queues. Or deliver parcels in first place.,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9610608220100403}",,0.0,0
113,"Could these #RoyalMail strikes impact you? 
",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9563112258911133}",,0.0,0
114,#royalmail  got this today disgrace the way think they can get away with this sort of thing you can clearly see from image been ripped open ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9612771272659302}",,0.0,0
115,New royal letter arrived from Luxembourg 🇱🇺 #royalletter #Royal #royalmail #royalreply #Luxembourg ,Royal Reply,5,"{'label': 'Royal Reply', 'score': 0.9846314787864685}",,0.0,0
116,Royal Mail update!! #etsyuk ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9604378342628479}",,0.0,0
117,Hermes driver caught launching parcels into van ‘as hard as he could’ ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9634257555007935}",,0.0,0
118,2014 Prime Ministers #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #royalmailstamps #postagestamps #collectingstamps #postage #postagestamps  #postagestamp #PrimeMinister #primeministers ,Philately,2,"{'label': 'Philately', 'score': 0.9844520092010498}",,0.0,0
119,#Postman #Postwoman #Bromley 25 hrs pw driving #RoyalMail #JCPinSth  to apply @RoyalMailCareer,Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9510258436203003}",,0.0,0
120,"It won't be cheap to buy out the #utilities, #railways , #RoyalMail looking at billions #LabourManifesto",Politics,3,"{'label': 'Politics', 'score': 0.9693602323532104}",,0.0,0
121,@Bodenclothing received this today in the post. #royalmail 🙄 ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.961794912815094}",,0.0,0
122,1980 Sport #stamp #stamps #philatelists #philately #stampcollector #stampcollection #stampcollecting #postalstamps #royalmail #postagestamps #collectingstamps #postage #postagestamps #presentation #presentationpacks  #sport #sports #Cricket #boxing #Rugby ,Philately,2,"{'label': 'Philately', 'score': 0.984814465045929}",,0.0,0
123,@piersmorgan  we need to protect our posties jobs. Using covid as an excuse is wrong  by the new bosses of #royalmail,Customer Service,0,"{'label': 'Customer Service', 'score': 0.7464845776557922}",,0.0,0
124,Omg #postman waking me up at 3pm #royalmail sort it lol,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9625718593597412}",,0.0,0
125,Here at #warringtonjobsfair and having discussions with likes of #royalmail #BT #WHHT and #warringtondisabilitypartnership around #workexperience for @priestleysfc ,Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9780547022819519}",,0.0,0
126,"@jadenozzz You are aware that there is limited capacity with #royalmail nationally delivering a max of 900,000 kits a day..1400 sorting offices 642 boxes on average delivered a day in that area..since agreement on 17 dec..",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9591748118400574}",,0.0,0
127,Learn the insider secrets to how to get a graduate job with the Royal Mail. Listen to my interview with their graduate recruitment team here.  #graduatejobs #jobsearch #gradjobs #royalmailjobs #jobsinlondon #careers #careeradvice #royalmail #graduatescheme,Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9773593544960022}",,0.0,0
128,#Postman / #Postwoman with #Driving #Streatham P/T 25 hrs p.w #RoyalMail  #Jobs #CustomerServiceJobs #DrivingJobs #RoyalMailJobs #SouthLondonJobs #SM1Jobs #SuttonJobs,Royal Mail Jobs,4,"{'label': 'Royal Mail Jobs', 'score': 0.9780744314193726}",,0.0,0
129,"Experts @ #HargrievesLandsdown 
know fuck all, letter volumes are down because businesses are closed, if you want someone to read something send a letter want them to ignore it send an email &amp; it’s #RoyalMail failing to capitalise on this

Mail chief quits
",Customer Service,0,"{'label': 'Customer Service', 'score': 0.9598925113677979}",,0.0,0
130,More strikes effecting us this week. Royal mail who we spend on average 27k in postage going on strike. Felixstowe port strike where our shoes come into port. Knock on effect from rail strike. #strikes #royalmail #felixstoweport #smallbusiness #knockoneffect ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9513048529624939}",,0.0,0
131,Why not come and join the team #royalmail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9573176503181458}",,0.0,0
132,Family of #birds have turned a #RoyalMail postbox into their #nest  ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9625400900840759}",,0.0,0
133,#royalmail better but still not right ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9590006470680237}",,0.0,0
134,#royalmail hi anyone else had no mail in CM2 area.,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9607166647911072}",,0.0,0
135,Royal Mail allow postmen to open and report scam letters:  #RoyalMail #Post,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9627571702003479}",,0.0,0
136,Don't get caught out ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9280800819396973}",,0.0,0
137,EU citizen's PR application with original docs lost by the @RoyalMail and still not found. HO should start accepting copies. #RoyalMail ,Customer Service,0,"{'label': 'Customer Service', 'score': 0.9605513215065002}",,0.0,0
