,tweet_id,user.username,topic,cleaned_text
5702,1.6233701554671493e+18,mrsverypicky,"['strike', 'service', 'mail', 'uk']","BBC News - #RoyalMail February strike off after legal challenge
"
5764,1.6330576202012058e+18,sarahkelly1202,"['strike', 'service', 'mail', 'uk']",#royalmail when your red🟥 finally arrives 🤣 
5787,7.484731427718513e+17,audraadkins831,"['service', 'mail', 'time', 'letter']",Great #friends realize your #love of all things written! Love getting #royalmail from across the… 
5789,7.48500432281043e+17,esiotrot54,"['service', 'mail', 'time', 'letter']",#royalmail ridiculous rule not being able to send perfume etc by post. Why is this and why even use the post? No point.
5793,7.49634238299906e+17,NHSBSA_Students,"['service', 'mail', 'time', 'letter']",Ask #royalmail  if you've paid enough postage sending your #NHSBursary evidence. 
5794,7.503728976931185e+17,matt_greener,"['service', 'mail', 'time', 'letter']",Is that a young @Gove2016 on the stamp #RoyalMail 
5797,7.506882974003036e+17,DrRob_Wilson,"['service', 'mail', 'time', 'letter']",@AJKarg @LindfieldGroup @auspost must take longer than #royalmail. Dr Kitchin and I have ours 😃 
5800,7.513663107187384e+17,chrisshields10,"['service', 'mail', 'time', 'letter']",#RoyalMail regularly post these cards saying they couldn't deliver because you weren't in.....even tho you are. 
5802,7.520801629430702e+17,NHSBSA_Students,"['service', 'mail', 'time', 'letter']",Use Special Delivery post to track your #NHSBursary supporting evidence and to make a claim from #royalmail if documents get lost in transit
5805,7.528872360777441e+17,lmartin2020,"['service', 'mail', 'time', 'letter']",Urgent#specialdelivery? Don't try #royalmail 
5807,7.532613963060388e+17,Eva_GBTheatre,"['service', 'mail', 'time', 'letter']",@BBCNews look: the Queen gets an afternoon delivery from the #royalmail ! Just because her head's on the stamp... #buckinghampalace
5813,7.539411924931133e+17,GiovanniSW6,"['service', 'mail', 'time', 'letter']",@AmazonUK almost 2 days waiting for a prime item to arrive joke get @RoyalMail to deliver prime items that way we can collect #royalmail
5817,7.554142473503621e+17,Badger_Debs,"['service', 'mail', 'time', 'letter']","#BT home hub designed to fit through letterbox, yet another #EpicFail from #RoyalMail who have took mine back to the depot."
5820,7.55464712125608e+17,ScottWalker3008,"['service', 'mail', 'time', 'letter']",Who the fuck ordered summer. Must have come by #royalmail cos it's a bit late
5828,7.569015364883907e+17,Nick47xxy,"['service', 'mail', 'time', 'letter']",@VeryHelpers You were sent the item and a letter #royalmail  XB996459395GB #very is #embarrassingly #bad
5833,7.587646667682284e+17,Joseamey,"['service', 'mail', 'time', 'letter']",The postie left óur mail on the doorstep this morning.. including a financial statement.  #royalmail.
5836,7.595184136645181e+17,YardleyShooting,"['service', 'mail', 'time', 'letter']",When I used normal 1st class instead of premium Royal Mail service today - my 'refusal' was written on receipt. Damn cheek. #RoyalMail
5837,7.595180246762824e+17,YardleyShooting,"['service', 'mail', 'time', 'letter']",When I used normal 1st class instead of premium Royal Mail service today - my 'refusal' was recorded on receipt. Damn cheek. #RoyalMail
5838,7.597593683676488e+17,dazyid71,"['service', 'mail', 'time', 'letter']",Cant go Dom rep without a good read #royaltonpuntacana #royalmail#holiday @cr250222 dunkitorelse 
5840,7.605298746332365e+17,wils_emma,"['service', 'mail', 'time', 'letter']",This time a thank you card from The Queen!! Hopefully next time it'll be an invite for tea 😆 #hattrick #royalmail 👑 
5841,7.609388152592876e+17,JoanneBircsak,"['service', 'mail', 'time', 'letter']",@TicketmasterCS I phones your local rate number to ask where my tickets were? Still at #RoyalMail since 27th July? Apparently I should chase
5843,7.611169805773414e+17,NHSBSA_Students,"['service', 'mail', 'time', 'letter']",Use Special Delivery post to track your #NHSBursary evidence. Make a claim from #royalmail if docs lost in transit. 
5846,7.63073012862165e+17,INS_nails,"['service', 'mail', 'time', 'letter']",@RoyalMail 6pm still nothing so I go down sorting office to be told they didn't even load it on the fucking van  #royalmail #royalfail
5848,7.62930574319358e+17,COLDLUNCHUK,"['service', 'mail', 'time', 'letter']",@derekwalker31 @Deal_Town good to see that #royalmail have respond to my request to repaint the letterbox
5850,7.63502969484632e+17,parlpenguin,"['service', 'mail', 'time', 'letter']",#royalmail workers to be hit with big cut to pension schemes
5859,7.64039396270207e+17,glesga_gal,"['service', 'mail', 'time', 'letter']","How dafuq do #RoyalMail know i'm unemployed? ""Zoe"" can go take a flyin' fuck to hersel 📨🐻🎄 "
5861,7.640282490934436e+17,FifiMayG,"['service', 'mail', 'time', 'letter']",Waiting for the postman this morning like... #wheresmydelivery #royalmail 
5866,7.655184844281897e+17,leunggladys1,"['service', 'mail', 'time', 'letter']",Devastated... #royalmail has lost my marriage certificate and the post office said 'you're stuffed' to my husband...
5868,7.66190416244904e+17,NHSBSA_Students,"['service', 'mail', 'time', 'letter']",Use Special Delivery post to track your #NHSBursary evidence and to make a claim from #royalmail if docs get lost 
5869,7.661965188104888e+17,SamanthaFivash,"['service', 'mail', 'time', 'letter']",Is it acceptable for the postman to be smoking whilst delivering my mail? Never seen that before #RoyalMail
5872,7.661866574984274e+17,soykostudio,"['service', 'mail', 'time', 'letter']",what happened to standards #RoyalMail?parcel to USA went to Poland and after 13 days is scheduled to arrive to my house?I'm loosing customer
5876,7.671122204844974e+17,PaulaHopes1,"['service', 'mail', 'time', 'letter']",Ingenious postman in Ireland manages to deliver letter addressed to  the good old #royalmail @antonthom40
5878,7.677415541109801e+17,AlwaysNote,"['service', 'mail', 'time', 'letter']",Found a GR postbox on our sponsorship walk #royalmail #ncsyes #makeyourmark 
5882,7.687726239416402e+17,_come_together,"['service', 'mail', 'time', 'letter']",When the Postie knocks that door... #royalmail &lt;3 
5887,7.705679790210089e+17,AngelaRayner,"['service', 'mail', 'time', 'letter']",Shocked and appalled at relocation of Droylsden #RoyalMail delivery office announced in letter to me from bosses today#saveRoyalMail #fight
5889,7.706375791087043e+17,VPMagazine,"['service', 'mail', 'time', 'letter']","@GEMkitchens we've got a feature in our next issue on #kitchentrends - delivered thru 50,000 village letterboxes by #royalmail 26 Sep"
5891,7.706565746794783e+17,alklu,"['service', 'mail', 'time', 'letter']",Has any one have experience with royal mail international signed ?#royalmail
5893,7.712746444186542e+17,hitenvekaria,"['service', 'mail', 'time', 'letter']",@ReutersBiz #royalmail shortage of mail sacks users complaining can not send parcels that should reflect in next quarter downside
5894,7.713176447713608e+17,Marwood75,"['service', 'mail', 'time', 'letter']",Disappointed but not surprised that privatised #royalmail First Class no longer means next day delivery #profitbeforeservice
5895,7.715786784760136e+17,alison20104,"['service', 'mail', 'time', 'letter']",#royalmail where is our letters. May through to July. Blaming you are #Concentrixputtingfamiliesintopoverty
5898,7.72018603889664e+17,OldDalbyCC,"['service', 'mail', 'time', 'letter']",Currently on tour in Norwich but with a view like this we could be anywhere #royalmail 
5907,7.739786748025979e+17,dee1958,"['service', 'mail', 'time', 'letter']",disgusted a@#royalmail sent a £20 gift card by recorded delivery and some toe rag @#royalmail has nicked the gift card!!!!!!
5908,7.742083710461788e+17,CouCaravaca,"['service', 'mail', 'time', 'letter']","When the postman tells you ""so this is for you and the letter for your flatmate"" #payrise #royalmail #webuytoomuch "
5909,7.745821484057887e+17,magsterW,"['service', 'mail', 'time', 'letter']",Station car park. Blackheath Village. Posted birthday parcels.  Just made the 12 o'clock post! Good Old #RoyalMail. 
5915,7.756452496119194e+17,crfc1949,"['service', 'mail', 'time', 'letter']",#Royalmail  Appalling &amp; illegal 'service' in N16.  Bank statements torn and protruding from my letterbox.  Numerous complaints and no change
5920,7.768234688348488e+17,MorganEyesOnly,"['service', 'mail', 'time', 'letter']",When you're super pissed off cause your postman shit it instead of just shoving @NBA2K through the postbox. #struggling #royalmail
5922,7.767427446141379e+17,HoratioStiggers,"['service', 'mail', 'time', 'letter']","@PeterFolley new job oppo for you then?
#makingtheperfectpostie
#royalmail"
5935,7.796098442066944e+17,Mark78MPH,"['service', 'mail', 'time', 'letter']",Dear #royalmail pls explain why pushing a single letter through the box str8 is a regular problem for your posties 
5938,7.800113494851871e+17,mariavlachou_pt,"['service', 'mail', 'time', 'letter']",Brilliant #agathachristie #royalmail  via @slate
5941,7.808897165561733e+17,glutenfree_chic,"['service', 'mail', 'time', 'letter']",Postman opted to leave my payslip sitting in our communal corridor rather than posting thru the letterbox. Thanks for that! #RoyalMail
5947,7.814599139229737e+17,MaggieWoods10,"['service', 'mail', 'time', 'letter']",@CathyBellman describing her leadership journey @TVWLA 
5948,7.81473463253033e+17,FayeFayefaye87,"['service', 'mail', 'time', 'letter']",@RoyalMail delivery?! Really- is is acceptable for so much free crap to be delivered in 1 day#swadlincote #royalmail #crap #waste 
5956,7.839999700137452e+17,Loopy3092,"['service', 'mail', 'time', 'letter']","Post just arrived, there was a time it arrived in the morning! #RoyalMail"
5958,7.842750575728476e+17,lizacoyle,"['service', 'mail', 'time', 'letter']",#RoyalMail get your act together! 2 Parcels to opposite ends of the country one 1st one 2nd a week later &amp; nether has arrived!
5960,7.854914144110469e+17,LordFawlty,"['service', 'mail', 'time', 'letter']",I think @RoyalMail is doing this with every letter &amp; parcel of mine at this time!!!! #royalmail 
5962,7.855743952637829e+17,D0ntGetItTwiStd,"['service', 'mail', 'time', 'letter']",There must be something I am missing or just not getting - especially when your post gets delivered @20:55 #notinanyhurry #royalmail ✉️📮
5966,7.861553067367547e+17,KarlaBrading,"['service', 'mail', 'time', 'letter']",The irony of ordering first class stamps directly from #RoyalMail is that they take FOREVER to get here. Grr.
5967,7.862521353694085e+17,jazzeyclayton,"['service', 'mail', 'time', 'letter']",@RoyalMail  doesn't not give me much faith  in #RoyalMail   least you could of asked for the details of post box to trace the missing post
5968,7.865461583447327e+17,Glitterbug_UK,"['service', 'mail', 'time', 'letter']",So I just had to sign for a package looking like this! Sorry postman #glitterbuguk #royalmail… 
5974,7.880120333211034e+17,stevedabear,"['service', 'mail', 'time', 'letter']",The #royalmail and #postoffice are a fucking joke.
5981,7.887934838721413e+17,Snowybumbum,"['service', 'mail', 'time', 'letter']","18.20 and our post has just arrived........can only presume it's tomorrow's delivery come early?!
#RoyalMail #joke #postmanpat #Jess"
5984,7.892014317314171e+17,JackridRob,"['service', 'mail', 'time', 'letter']"," Came up against ageism applying for job with #royalmail. CV exceeds expectation, emphasis on my stamina was a shock"
5988,7.897911751589315e+17,BeachHutBabe24,"['service', 'mail', 'time', 'letter']",Big fat zero for the #royalmail on service today in #Weymouth Still behaving like a state run show ... #stepupyourgame
5993,7.91242517555667e+17,lanahya,"['service', 'mail', 'time', 'letter']",Er yes #RoyalMail the address will be insufficient if some fuckwit has crossed it out!!! #ffs 
6003,7.934372016652984e+17,SHUCareers,"['service', 'mail', 'time', 'letter']",Team GGC busy on the hunt for the @shuhiddenparcel #royalmail #graduatewithmore 
6006,7.942287383010345e+17,hubertandcalvin,"['service', 'mail', 'time', 'letter']",Today's orders on there way out #royalmail #asos #fashion 
6010,7.948840589164872e+17,SCinteriorsuk,"['service', 'mail', 'time', 'letter']",Last dates for International Postage  #royalmail #postage
